,Datum,Temperatur,Windgeschwindigkeit,bewoelkung_time,wettercode_knn,temp_category,wettercode_agg,Umsatz,KielerWoche,Warengruppe,Wochentag,is_holiday,id
394,2013-07-01,17.8375,15,6,20,medium,2,148.828353112183,0.0,1.0,0.0,0.0,1307011.0
395,2013-07-01,17.8375,15,6,20,medium,2,535.856284785361,0.0,2.0,0.0,0.0,1307012.0
396,2013-07-01,17.8375,15,6,20,medium,2,201.198425690037,0.0,3.0,0.0,0.0,1307013.0
397,2013-07-01,17.8375,15,6,20,medium,2,65.890168799361,0.0,4.0,0.0,0.0,1307014.0
398,2013-07-01,17.8375,15,6,20,medium,2,317.475874933038,0.0,5.0,0.0,0.0,1307015.0
399,2013-07-02,17.3125,10,3,18,medium,2,159.79375714468,0.0,1.0,1.0,0.0,1307021.0
400,2013-07-02,17.3125,10,3,18,medium,2,546.780787392297,0.0,2.0,1.0,0.0,1307022.0
401,2013-07-02,17.3125,10,3,18,medium,2,265.261253994438,0.0,3.0,1.0,0.0,1307023.0
402,2013-07-02,17.3125,10,3,18,medium,2,74.5439171827412,0.0,4.0,1.0,0.0,1307024.0
403,2013-07-02,17.3125,10,3,18,medium,2,383.628681612577,0.0,5.0,1.0,0.0,1307025.0
404,2013-07-03,21.075,6,7,61,medium,3,111.885593514353,0.0,1.0,2.0,0.0,1307031.0
405,2013-07-03,21.075,6,7,61,medium,3,427.343258749983,0.0,2.0,2.0,0.0,1307032.0
406,2013-07-03,21.075,6,7,61,medium,3,210.260241465493,0.0,3.0,2.0,0.0,1307033.0
407,2013-07-03,21.075,6,7,61,medium,3,69.2627280649987,0.0,4.0,2.0,0.0,1307034.0
408,2013-07-03,21.075,6,7,61,medium,3,305.523072325318,0.0,5.0,2.0,0.0,1307035.0
409,2013-07-04,18.85,7,7,20,medium,2,168.864940979931,0.0,1.0,3.0,0.0,1307041.0
410,2013-07-04,18.85,7,7,20,medium,2,454.859641347987,0.0,2.0,3.0,0.0,1307042.0
411,2013-07-04,18.85,7,7,20,medium,2,190.686641378586,0.0,3.0,3.0,0.0,1307043.0
412,2013-07-04,18.85,7,7,20,medium,2,61.490175369225,0.0,4.0,3.0,0.0,1307044.0
413,2013-07-04,18.85,7,7,20,medium,2,308.408167942149,0.0,5.0,3.0,0.0,1307045.0
414,2013-07-05,19.975,12,5,37,medium,2,171.280754117955,0.0,1.0,4.0,0.0,1307051.0
415,2013-07-05,19.975,12,5,37,medium,2,492.818804066088,0.0,2.0,4.0,0.0,1307052.0
416,2013-07-05,19.975,12,5,37,medium,2,181.644870215041,0.0,3.0,4.0,0.0,1307053.0
417,2013-07-05,19.975,12,5,37,medium,2,86.7598614451924,0.0,4.0,4.0,0.0,1307054.0
418,2013-07-05,19.975,12,5,37,medium,2,355.518770367742,0.0,5.0,4.0,0.0,1307055.0
419,2013-07-06,18.9625,8,0,3,medium,1,174.552359998476,0.0,1.0,5.0,0.0,1307061.0
420,2013-07-06,18.9625,8,0,3,medium,1,631.906068038484,0.0,2.0,5.0,0.0,1307062.0
421,2013-07-06,18.9625,8,0,3,medium,1,291.557959835153,0.0,3.0,5.0,0.0,1307063.0
422,2013-07-06,18.9625,8,0,3,medium,1,80.6465768881107,0.0,4.0,5.0,0.0,1307064.0
423,2013-07-06,18.9625,8,0,3,medium,1,361.866932797941,0.0,5.0,5.0,0.0,1307065.0
424,2013-07-07,21.375,9,0,3,medium,1,92.6377553788373,0.0,1.0,6.0,0.0,1307071.0
425,2013-07-07,21.375,9,0,3,medium,1,695.25572963054,0.0,2.0,6.0,0.0,1307072.0
426,2013-07-07,21.375,9,0,3,medium,1,279.665938833443,0.0,3.0,6.0,0.0,1307073.0
427,2013-07-07,21.375,9,0,3,medium,1,94.6039024817053,0.0,4.0,6.0,0.0,1307074.0
428,2013-07-07,21.375,9,0,3,medium,1,370.20960108863,0.0,5.0,6.0,0.0,1307075.0
429,2013-07-08,22.725,10,0,5,medium,2,135.500244042392,0.0,1.0,0.0,0.0,1307081.0
430,2013-07-08,22.725,10,0,5,medium,2,538.529249911711,0.0,2.0,0.0,0.0,1307082.0
431,2013-07-08,22.725,10,0,5,medium,2,195.158794309303,0.0,3.0,0.0,0.0,1307083.0
432,2013-07-08,22.725,10,0,5,medium,2,49.5000238633042,0.0,4.0,0.0,0.0,1307084.0
433,2013-07-08,22.725,10,0,5,medium,2,285.233382496522,0.0,5.0,0.0,0.0,1307085.0
434,2013-07-09,23.275,8,0,2,high,1,136.048382778344,0.0,1.0,1.0,0.0,1307091.0
435,2013-07-09,23.275,8,0,2,high,1,585.957264698849,0.0,2.0,1.0,0.0,1307092.0
436,2013-07-09,23.275,8,0,2,high,1,245.808338509722,0.0,3.0,1.0,0.0,1307093.0
437,2013-07-09,23.275,8,0,2,high,1,75.2089975834558,0.0,4.0,1.0,0.0,1307094.0
438,2013-07-09,23.275,8,0,2,high,1,342.089345776475,0.0,5.0,1.0,0.0,1307095.0
439,2013-07-10,19.6875,13,2,5,medium,2,135.132314289581,0.0,1.0,2.0,0.0,1307101.0
440,2013-07-10,19.6875,13,2,5,medium,2,567.365764527953,0.0,2.0,2.0,0.0,1307102.0
441,2013-07-10,19.6875,13,2,5,medium,2,265.109142544045,0.0,3.0,2.0,0.0,1307103.0
442,2013-07-10,19.6875,13,2,5,medium,2,73.8056511129258,0.0,4.0,2.0,0.0,1307104.0
443,2013-07-10,19.6875,13,2,5,medium,2,343.353066508123,0.0,5.0,2.0,0.0,1307105.0
444,2013-07-11,21.375,12,0,5,medium,2,138.549392636714,0.0,1.0,3.0,0.0,1307111.0
445,2013-07-11,21.375,12,0,5,medium,2,569.109374584873,0.0,2.0,3.0,0.0,1307112.0
446,2013-07-11,21.375,12,0,5,medium,2,234.65807920749,0.0,3.0,3.0,0.0,1307113.0
447,2013-07-11,21.375,12,0,5,medium,2,68.6330279122302,0.0,4.0,3.0,0.0,1307114.0
448,2013-07-11,21.375,12,0,5,medium,2,315.911756962233,0.0,5.0,3.0,0.0,1307115.0
449,2013-07-12,20.2875,7,0,2,medium,1,101.447511461298,0.0,1.0,4.0,0.0,1307121.0
450,2013-07-12,20.2875,7,0,2,medium,1,600.267914678783,0.0,2.0,4.0,0.0,1307122.0
451,2013-07-12,20.2875,7,0,2,medium,1,290.199097765019,0.0,3.0,4.0,0.0,1307123.0
452,2013-07-12,20.2875,7,0,2,medium,1,362.802489634211,0.0,5.0,4.0,0.0,1307125.0
